ComptaID,Date,Portefeuille,PortefeuilleID,Fonctionnement,FonctionnementID,Num_Commande,Montant,Vérifié,Date paiement,Relevé,Etat,Categorie,CategorieID,Tiers,TiersID,Notes,Projet,ProjetID
2025-08-06-0-002,06/08/2025,Banque,PTF#BA#BANQ#BAN,Rembroucement Emprunt,FCT.R-EMP,,"24,90 €",N/A,,,Réglé,Finance / Crédits / Remboursement Prêts Perso,C.D-FIN.CR.05,Papy famille ,T#TT-SER-TR-PER#250101#PAPY_FAMILLE___,,,
2025-08-06-0-001,06/08/2025,Banque,PTF#BA#BANQ#BAN,Annule Dépense Rembourcement,FCT.MV-AD,,"24,90 €",N/A,,,Réglé,Logement / Ameublement & Entretien / Bricolage,C.D-LOG.AM.02,Papy famille ,T#TT-SER-TR-PER#250101#PAPY_FAMILLE___,Déduction pour déécopmpte pret,,
2025-08-07-0-005,07/08/2025,Banque,PTF#BA#BANQ#BAN,Transfert & Retraits,FCT.MV-TF,,"60,00 €",Oui,08/08/2025,05/09/2025,Réglé,Finance / Banque / Retrait,C.D-FIN.BA.05,Moi - Portefeuille Especes - mai 25,T#TT-SER-TR-PER#250101#MOI__PORTEFEUIL,,,
2025-08-07-0-004,07/08/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"11,50 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Restaurant - Yom Thaï Food - Nancy,T#TT-COM-RE-RES#250620#RESTAURANT__YOM,,Jeux de Société,P#2025JEUX_DE_SO
2025-08-07-0-003,07/08/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"30,00 €",N/A,,,Réglé,Santé & Bien-être / Santé / Soins,C.D-SAN.SA.05,Dr Jullière Guy - Généraliste (MT) - Nancy,T#TT-PUB-SA-MÉD#250101#DR_JULLIRE_GUY_,,,
2025-08-07-0-002,07/08/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"2,50 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Dons association,C.D-SAN.LO.03,La Feinte de l'ours,T#TT-PUB-CO-ASS#250101#LA_FEINTE_DE_LO,,Jeux de Société,P#2025JEUX_DE_SO
2025-08-07-0-001,07/08/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"3,35 €",N/A,,,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Miller Tradition - Boulangerie Villers,T#TT-COM-RE-BOU#250801#MILLER_TRADITIO,,Papy Villers,P#2025PAPY_VILLE
2025-08-08-0-003,08/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"28,19 €",Oui,12/08/2025,05/09/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Supermarché Match Villers-les-nancy,T#TT-COM-DI-SUP#250619#SUPERMARCH_MATC,,,
2025-08-08-0-002,08/08/2025,Banque,PTF#BA#BANQ#BAN,Rembroucement Emprunt,FCT.R-EMP,,"21,14 €",N/A,,,Réglé,Finance / Crédits / Remboursement Prêts Perso,C.D-FIN.CR.05,Papy famille ,T#TT-SER-TR-PER#250101#PAPY_FAMILLE___,,Papy Villers,P#2025PAPY_VILLE
2025-08-08-0-001,08/08/2025,Banque,PTF#BA#BANQ#BAN,Annule Dépense Rembourcement,FCT.MV-AD,,"21,14 €",N/A,,,Réglé,Logement / Ameublement & Entretien / Bricolage,C.D-LOG.AM.02,Papy famille ,T#TT-SER-TR-PER#250101#PAPY_FAMILLE___,,Papy Villers,P#2025PAPY_VILLE
