ComptaID,Date,Portefeuille,PortefeuilleID,Fonctionnement,FonctionnementID,Num_Commande,Montant,Vérifié,Date paiement,Relevé,Etat,Categorie,CategorieID,Tiers,TiersID,Notes,Projet,ProjetID
2025-09-03-0-001,03/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"9,90 €",N/A,,,Réglé,Quotidien / Repas / Repas Midi,,Poulaillon - Boulangerie - epinal,T#TT-COM-RE-BOU#250902#POULAILLON__BOU,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-04-0-002,04/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"1 125,60 €",Oui,04/09/2025,05/09/2025,Réglé,Finance / Social / Chaumage,C.R-FIN.SO.01,France Travail - Pole Emploi,T#TT-PUB-SE-SER#250701#FRANCE_TRAVAIL_,,,
2025-09-04-0-001,04/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"15,90 €",Oui,05/09/2025,05/09/2025,Réglé,Quotidien / Repas / Repas Resto partagés,C.D-QUO.RE.02,Fujiyama - Restaurant,T#TT-COM-RE-RES#250904#FUJIYAMA__RESTA,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-05-0-000,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-04110724538230987,"3,85 €",Oui,08/09/2025,06/10/2025,Réglé,Logement / Ameublement / Accessoires,C.D-LOG.AM.01,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-05-0-013,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-04110724538230987,"5,05 €",Oui,08/09/2025,06/10/2025,Réglé,Logement / Ameublement & Entretien / Décoration,C.D-LOG.AM.03,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-05-0-012,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-04110724538230987,"9,57 €",Oui,08/09/2025,06/10/2025,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,Temu,T#TT-COM-NU-INT#250101#TEMU______,tapis de sourris,,
2025-09-05-0-011,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"69,87 €",Oui,05/09/2025,05/09/2025,Réglé,Santé & Bien-être / Santé / Adhésion mutuelle,C.D-SAN.SA.01,Alptis - Mutuelle santé,T#TT-PUB-SA-MUT#250721#ALPTIS__MUTUELL,,,
2025-09-05-0-010,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"128,95 €",Oui,05/09/2025,05/09/2025,Réglé,Quotidien / Abonnement / Internet & Mobile,C.D-QUO.AB.01,Free,T#TT-COM-NU-FOU#250905#FREE______,,Loc Epinal,P#2025LOC_EPINAL
2025-09-05-0-009,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"18,00 €",Oui,05/09/2025,05/09/2025,Réglé,Santé & Bien-être / Santé / Remboursement mutuelle,C.R-SAN.SA.04,Alptis - Mutuelle santé,T#TT-PUB-SA-MUT#250721#ALPTIS__MUTUELL,,,
2025-09-05-0-008,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"11,45 €",Oui,05/09/2025,05/09/2025,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,Stan Transport en commun  Nancéens ,T#TT-MOB-IN-TRA#250101#STAN_TRANSPORT_,,Papy Villers,P#2025PAPY_VILLE
2025-09-05-0-007,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"19,18 €",Oui,05/09/2025,05/09/2025,Réglé,Logement / Charges / Énergie (Élec & Gaz),C.D-LOG.CH.05,EDF & GDF - Electricité & Gaz de France,T#TT-PUB-AS-ELE#250801#EDF__GDF__ELECT,,Loc Epinal,P#2025LOC_EPINAL
2025-09-05-0-006,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-04110724538230987,"3,26 €",Oui,08/09/2025,06/10/2025,Réglé,Quotidien / Mode / Vêtements & accessoires à theme,C.D-QUO.MO.05,Temu,T#TT-COM-NU-INT#250101#TEMU______,,Viking,P#2025VIKING____
2025-09-05-0-005,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-04110724538230987,"13,12 €",Oui,08/09/2025,06/10/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-05-0-004,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-04110724538230987,"10,49 €",Oui,08/09/2025,06/10/2025,Réglé,Quotidien / Mode / Vêtements ,C.D-QUO.MO.04,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-05-0-003,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"10,90 €",Oui,08/09/2025,06/10/2025,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Laos Khao Hom - Epinal Marché couvert,T#TT-COM-RE-RES#250905#LAOS_KHAO_HOM__,,,
2025-09-05-0-002,05/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"10,50 €",Oui,08/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-05-0-001,05/09/2025,Banque,PTF#BA#BANQ#BAN,Annule Dépense Rembourcement,FCT.MV-AD,PO-069-11669848154230987,"8,18 €",Oui,08/09/2025,06/10/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-06-0-004,06/09/2025,Banque,PTF#BA#BANQ#BAN,Transfert & Retraits,FCT.MV-TF,,"100,00 €",Oui,09/09/2025,06/10/2025,Réglé,Finance / Banque / Retrait,C.D-FIN.BA.05,Moi - Portefeuille Especes - mai 25,T#TT-SER-TR-PER#250101#MOI__PORTEFEUIL,,,
2025-09-06-0-000,06/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"660,00 €",Oui,06/09/2025,06/10/2025,Réglé,Logement / Charges / Loyer,C.D-LOG.CH.06,MOUGEL Agnès - Propriétaire,T#TT-SER-IM-PRO#250727#MOUGEL_AGNS__PR,,,
2025-09-06-0-002,06/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"5,95 €",,,,Réglé,Finance / Revenus Exceptionnels / Pertes & Profits,#N/A,Moi - Portefeuille Especes - mai 25,T#TT-SER-TR-PER#250101#MOI__PORTEFEUIL,,,
2025-09-06-0-001,06/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"17,14 €",,,,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Monoprix Epinal,T#TT-COM-DI-SUP#250821#MONOPRIX_EPINAL,,Loc Epinal,P#2025LOC_EPINAL
2025-09-08-0-000,08/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"15,50 €",Oui,08/09/2025,06/10/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Marché - Rotisseries 59 Anor,T#TT-COM-RE-RES#250906#MARCH__ROTISSER,,,
2025-09-08-0-001,08/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"4,20 €",N/A,,,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,L'Epi Bleu - boulangerie - Epinal,T#TT-COM-RE-BOU#250909#LEPI_BLEU__BOUL,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-09-0-000,09/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"12,00 €",N/A,,,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Antalya Snack - Epinal - Kebab,T#TT-COM-RE-RES#250908#ANTALYA_SNACK__,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-10-0-002,10/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"23,00 €",Oui,10/09/2025,06/10/2025,Réglé,Santé & Bien-être / Loisirs Social / Dons association,C.D-SAN.LO.03,CIQ - Rive Gauche,T#TT-PUB-CO-ASS#250901#CIQ__RIVE_GAUCH,,,
2025-09-10-0-001,10/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"22,00 €",Oui,10/09/2025,06/10/2025,Réglé,Logement / Charges / Assurance,C.D-LOG.CH.01,Maaf Assurance - Epinal,T#TT-PUB-CO-GAR#250801#MAAF_ASSURANCE_,,,
2025-09-11-0-005,11/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"63,32 €",Oui,12/09/2025,06/10/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Intermarché - Golbey / Epinal,T#TT-COM-DI-SUP#250723#INTERMARCH__GOL,,Loc Epinal,P#2025LOC_EPINAL
2025-09-11-0-004,11/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"11,50 €",Oui,12/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Resto partagés,C.D-QUO.RE.02,L'Atelier Pizza - Epinal,T#TT-COM-RE-RES#250911#LATELIER_PIZZA_,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-11-0-003,11/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"10,49 €",Oui,11/09/2025,06/10/2025,Réglé,Quotidien / Correspondance / Affranchissement,C.D-QUO.CO.09,La poste online,T#TT-PUB-AS-POS#250901#LA_POSTE_ONLINE,,,
2025-09-11-0-002,11/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"6,00 €",Oui,11/09/2025,06/10/2025,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,SNCF - Train & Bus,T#TT-MOB-IN-TRA#250809#SNCF__TRAIN__BU,,,
2025-09-11-0-000,11/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"1,40 €",N/A,,,Réglé,Quotidien / Consommation / Courses,,"Boulangerie Maison Charlise, Epinal",T#TT-COM-RE-BOU#250724#BOULANGERIE_MAI,,,
2025-09-12-0-003,12/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"23,90 €",Oui,15/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Resto partagés,C.D-QUO.RE.02,The Place To Be - Epinal,T#TT-COM-RE-RES#250912#THE_PLACE_TO_BE,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-12-0-002,12/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"2,99 €",Oui,12/09/2025,06/10/2025,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,SNCF - Train & Bus,T#TT-MOB-IN-TRA#250809#SNCF__TRAIN__BU,,,
2025-09-12-0-000,12/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,,,"6,00 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Dons association,,A un point Près - MTL - Heillecourt,T#TT-PUB-CO-ASS#250913#A_UN_POINT_PRS_,,,
2025-09-13-1-001,13/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"13,90 €",,,,Dû,Santé & Bien-être / Loisirs Social / Jeux de Société,C.D-SAN.LO.04,La caverne du Goblin - MTL - Heillecourt,T#TT-COM-LO-JEU#250913#LA_CAVERNE_DU_G,,Jeux de Société,P#2025JEUX_DE_SO
2025-09-13-0-000,13/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,,,"4,00 €",N/A,,,Réglé,Santé & Bien-être / Loisirs Social / Dons association,,A un point Près - MTL - Heillecourt,T#TT-PUB-CO-ASS#250913#A_UN_POINT_PRS_,,,
2025-09-14-0-001,14/09/2025,Banque,,Dépense & Revenu,,,"20,00 €",Oui,15/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Feuillette - Boulangerie - Heilliecourt,T#TT-COM-RE-BOU#250915#FEUILLETTE__BOU,,Rencontre,P#2025RENCONTRE_
2025-09-15-0-003,15/09/2025,Banque,,Dépense & Revenu,,,"80,98 €",Oui,16/09/2025,06/10/2025,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,Vepee,T#TT-COM-NU-INT#250901#VEPEE______,,,
2025-09-15-0-002,15/09/2025,Banque,,Dépense & Revenu,,,"16,30 €",Oui,16/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Poulaillon - Boulangerie - epinal,T#TT-COM-RE-BOU#250902#POULAILLON__BOU,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-15-0-001,15/09/2025,Banque,,Dépense & Revenu,,,"7,79 €",Oui,15/09/2025,06/10/2025,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,BlaBlaCar,T#TT-MOB-IN-TRA#250901#BLABLACAR______,,,
2025-09-16-0-002,16/09/2025,Banque,,Dépense & Revenu,,,"13,00 €",Oui,17/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Mama Noi - Epinal,T#TT-COM-RE-RES#250912#MAMA_NOI__EPINA,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-16-0-001,16/09/2025,Banque,,Dépense & Revenu,,,"8,50 €",Oui,16/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Made In France Heilliecourt,T#TT-COM-RE-RES#250915#MADE_IN_FRANCE_,,,
2025-09-17-0-002,17/09/2025,Banque,,Dépense & Revenu,,,"10,50 €",Oui,18/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-17-0-001,17/09/2025,Banque,,Dépense & Revenu,,,"6,00 €",Oui,17/09/2025,06/10/2025,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,SNCF - Train & Bus,T#TT-MOB-IN-TRA#250809#SNCF__TRAIN__BU,,,
2025-09-18-0-002,18/09/2025,Banque,,Dépense & Revenu,,,"15,90 €",Oui,19/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Resto partagés,C.D-QUO.RE.02,Fujiyama - Restaurant,T#TT-COM-RE-RES#250904#FUJIYAMA__RESTA,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-18-0-001,18/09/2025,Banque,,Dépense & Revenu,,,"11,50 €",Oui,19/09/2025,06/10/2025,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Mama Noi - Epinal,T#TT-COM-RE-RES#250912#MAMA_NOI__EPINA,,,
2025-09-19-0-002,19/09/2025,Banque,,Dépense & Revenu,,,"9,99 €",Oui,19/09/2025,06/10/2025,Réglé,Quotidien / Abonnement / Internet & Mobile,C.D-QUO.AB.01,Free,T#TT-COM-NU-FOU#250905#FREE______,,Telephone,P#2025TELEPHONE_
2025-09-19-0-000,19/09/2025,Espèce,,Dépense & Revenu,,,"20,00 €",,,,Réglé,Santé & Bien-être / Loisirs Social / Adhésion association,,A un point Près - MTL - Heillecourt,T#TT-PUB-CO-ASS#250913#A_UN_POINT_PRS_,,Jeux de Société,P#2025JEUX_DE_SO
2025-09-20-0-005,20/09/2025,Banque,,Dépense & Revenu,,,"9,00 €",Oui,20/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Antalya Snack - Epinal - Kebab,T#TT-COM-RE-RES#250908#ANTALYA_SNACK__,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-20-0-004,20/09/2025,Banque,,Transfert & Retraits,,,"90,00 €",Oui,20/09/2025,06/10/2025,Réglé,Finance / Banque / Retrait,C.D-FIN.BA.05,Moi - Portefeuille Especes - mai 25,T#TT-SER-TR-PER#250101#MOI__PORTEFEUIL,,,
2025-09-20-0-003,20/09/2025,Espèce,,Dépense & Revenu,,,"24,50 €",,,,Réglé,Quotidien / Repas / Repas Resto partagés,,Restaurant - Yom Thaï Food - Nancy,T#TT-COM-RE-RES#250620#RESTAURANT__YOM,,,
2025-09-20-0-002,20/09/2025,Espèce,,Dépense & Revenu,,,"5,50 €",,,,Réglé,Santé & Bien-être / Loisirs Social / Dons association,,La Feinte de l'ours,T#TT-PUB-CO-ASS#250101#LA_FEINTE_DE_LO,,,
2025-09-20-0-001,20/09/2025,Espèce,,Dépense & Revenu,,,"10,00 €",,,,Réglé,Santé & Bien-être / Loisirs Social / Adhésion association,,La Feinte de l'ours,T#TT-PUB-CO-ASS#250101#LA_FEINTE_DE_LO,,Jeux de Société,P#2025JEUX_DE_SO
2025-09-21-0-001,21/09/2025,Banque,,Dépense & Revenu,,,"588,99 €",Oui,23/09/2025,06/10/2025,Réglé,Santé & Bien-être / Loisirs Social / Autre Loisirs,C.D-SAN.LO.06,Le bon coin,T#TT-COM-NU-INT#250901#LE_BON_COIN____,,,
2025-09-22-0-003,22/09/2025,Banque,,Dépense & Revenu,,,"10,00 €",Oui,23/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-22-0-002,22/09/2025,Banque,,Dépense & Revenu,,,"90,59 €",Oui,23/09/2025,06/10/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Monoprix Epinal,T#TT-COM-DI-SUP#250821#MONOPRIX_EPINAL,,,
2025-09-22-0-000,22/09/2025,Espèce,,Dépense & Revenu,,,"5,00 €",,,,Réglé,Santé & Bien-être / Loisirs Social / Adhésion association,,Pl'asso Jeu,T#TT-PUB-CO-ASS#250901#PLASSO_JEU_____,,Jeux de Société,P#2025JEUX_DE_SO
2025-09-23-0-003,23/09/2025,Banque,,Dépense & Revenu,,,"18,90 €",Oui,24/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Resto partagés,C.D-QUO.RE.02,The Place To Be - Epinal,T#TT-COM-RE-RES#250912#THE_PLACE_TO_BE,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-23-0-000,23/09/2025,Banque,,Dépense & Revenu,,,"12,89 €",Oui,24/09/2025,06/10/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Monoprix Epinal,T#TT-COM-DI-SUP#250821#MONOPRIX_EPINAL,,,
2025-09-23-0-001,23/09/2025,Banque,,Dépense & Revenu,,,"5,99 €",Oui,23/09/2025,06/10/2025,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,BlaBlaCar,T#TT-MOB-IN-TRA#250901#BLABLACAR______,,,
2025-09-24-0-000,24/09/2025,Banque,,Dépense & Revenu,,,"10,50 €",Oui,25/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-24-0-000,24/09/2025,Banque,,Dépense & Revenu,,,"10,00 €",Oui,24/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-24-0-000,24/09/2025,Banque,,Dépense & Revenu,,,"2 900,94 €",Oui,24/09/2025,06/10/2025,Réglé,Finance / Professionnel /  Salaire,C.R-FIN.PR.04,Ville d'Epinal,T#TT-SER-TR-EMP#250901#VILLE_DEPINAL__,,,
2025-09-25-0-003,25/09/2025,Banque,,Dépense & Revenu,,,"9,00 €",Oui,26/09/2025,06/10/2025,Réglé,Quotidien / Loisir récréatif / Cinéma (solo),C.D-QUO.LO.01,Cinéma - CINÉS PALACE Epinal,T#TT-COM-LO-CIN#250720#CINMA__CINS_PAL,Dean slayer,,
2025-09-25-0-002,25/09/2025,Banque,,Dépense & Revenu,,,"7,00 €",Oui,26/09/2025,06/10/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Monoprix Epinal,T#TT-COM-DI-SUP#250821#MONOPRIX_EPINAL,,,
2025-09-25-0-001,25/09/2025,Banque,,Dépense & Revenu,,,"11,00 €",Oui,26/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,The Place To Be - Epinal,T#TT-COM-RE-RES#250912#THE_PLACE_TO_BE,,,
2025-09-26-0-003,26/09/2025,Banque,,Dépense & Revenu,,,"11,90 €",Oui,30/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Smash Naan Game,T#TT-COM-RE-RES#250901#SMASH_NAAN_GAME,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-26-0-002,26/09/2025,Banque,,Dépense & Revenu,,,"22,00 €",Oui,29/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Resto partagés,C.D-QUO.RE.02,L'Atelier Pizza - Epinal,T#TT-COM-RE-RES#250911#LATELIER_PIZZA_,,,
2025-09-26-0-003,26/09/2025,Espèce,,Dépense & Revenu,,,"2,20 €",N/A,,,Réglé,Quotidien / Consommation / Courses,,La mie caline,T#TT-COM-RE-BOU#250823#LA_MIE_CALINE__,,,
2025-09-27-0-008,27/09/2025,Banque,,Dépense & Revenu,,PO-069-05570911463030987,"24,72 €",Oui,29/09/2025,06/10/2025,Réglé,Quotidien / Cadeaux / Cadeaux Famille,C.D-QUO.CA.03,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-27-0-007,27/09/2025,Banque,,Dépense & Revenu,,PO-069-05571016320630987,"58,98 €",Oui,29/09/2025,06/10/2025,Réglé,Quotidien / Mode / Vêtements ,C.D-QUO.MO.04,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-27-0-006,27/09/2025,Banque,,Dépense & Revenu,,PO-069-05571016320630987,"38,55 €",Oui,29/09/2025,06/10/2025,Réglé,Quotidien / Mode / Vêtements & accessoires à theme,C.D-QUO.MO.05,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-27-0-005,27/09/2025,Banque,,Dépense & Revenu,,PO-069-05571016320630987,"5,48 €",Oui,29/09/2025,06/10/2025,Réglé,Quotidien /  Mode / Accessoire Beauté,C.D-QUO.MO.01,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-27-0-004,27/09/2025,Banque,,Dépense & Revenu,,PO-069-05571016320630987,"18,00 €",Oui,29/09/2025,06/10/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-09-27-0-003,27/09/2025,Banque,,Dépense & Revenu,,,"13,30 €",Oui,29/09/2025,06/10/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Marché - Bonbons des hautes Vosges,T#TT-COM-RE-SUC#250901#MARCH__BONBONS_,,,
2025-09-27-0-002,27/09/2025,Banque,,Dépense & Revenu,,,"21,50 €",Oui,29/09/2025,06/10/2025,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Margorie & co.,T#TT-COM-RE-BAR#250901#MARGORIE__CO___,,,
2025-09-27-0-001,27/09/2025,Banque,,Dépense & Revenu,,,"20,30 €",Oui,29/09/2025,06/10/2025,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,Green Bagel Café - Epinal,T#TT-COM-RE-BAR#250723#GREEN_BAGEL_CAF,,,
2025-09-29-0-003,29/09/2025,Banque,,Dépense & Revenu,,,"10,00 €",Oui,30/09/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-29-0-003,29/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,,,"23,00 €",Oui,30/09/2025,06/10/2025,Réglé,Santé & Bien-être / Loisirs Social / Dons association,C.D-SAN.LO.03,CIQ - Rive Gauche,T#TT-PUB-CO-ASS#250901#CIQ__RIVE_GAUCH,,,
2025-09-29-0-003,29/09/2025,Banque,,Dépense & Revenu,,,"8,60 €",Oui,29/09/2025,06/10/2025,Réglé,Quotidien / Famille / Voyage,C.D-QUO.FA.04,SNCF - Train & Bus,T#TT-MOB-IN-TRA#250809#SNCF__TRAIN__BU,,,
2025-09-30-0-002,30/09/2025,Banque,,Dépense & Revenu,,,"8,00 €",Oui,01/10/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,boulangerie Nedelec - Epinal,T#TT-COM-RE-BOU#250901#BOULANGERIE_NED,,,
2025-09-30-0-002,30/09/2025,Espèce,,Dépense & Revenu,,,"2,20 €",N/A,,,Réglé,Quotidien / Consommation / Courses,,"Boulangerie Maison Charlise, Epinal",T#TT-COM-RE-BOU#250724#BOULANGERIE_MAI,,,
2025-10-01-0-002,01/10/2025,Banque,,Dépense & Revenu,,AirBnB-oct25,"35,16 €",Oui,02/10/2025,06/10/2025,Réglé,Quotidien / Famille / Voyage,C.D-QUO.FA.04,AirBnb - Ventron - Pims,T#TT-SER-IM-PRO#251001#AIRBNB__VENTRON,,,
2025-10-01-0-001,01/10/2025,Banque,,Dépense & Revenu,,AirBnB-oct25,"111,05 €",Oui,02/10/2025,06/10/2025,Réglé,Logement / Charges / Loyer,C.D-LOG.CH.06,AirBnB,T#TT-COM-NU-INT#250719#AIRBNB______,,,
2025-10-02-0-003,02/10/2025,Banque,,Dépense & Revenu,,,"10,00 €",Oui,06/10/2025,05/11/2025,Réglé,Santé & Bien-être / Loisirs Social / Sorties & Repas Perso,C.D-SAN.LO.07,La Casa Del Professor,T#TT-COM-RE-RES#251001#LA_CASA_DEL_PRO,,,
2025-10-02-0-003,02/10/2025,Banque,,Dépense & Revenu,,,"11,50 €",Oui,03/10/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Mama Noi - Epinal,T#TT-COM-RE-RES#250912#MAMA_NOI__EPINA,,Prise de poste VDE,P#2025PRISE_DE_P
2025-10-02-0-003,02/10/2025,Banque,,Dépense & Revenu,,,"10,00 €",Oui,02/10/2025,06/10/2025,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,,,
2025-10-05-0-001,05/10/2025,Banque,,Dépense & Revenu,,,"31,20 €",Oui,07/10/2025,05/11/2025,Réglé,Quotidien / Repas / Repas Resto partagés,C.D-QUO.RE.02,Le Ch'timi - Bar - Nancy,T#TT-COM-RE-BAR#251001#LE_CHTIMI__BAR_,,,
